iata,airport
FRA,Frankfurt
BER,Berlin/Brandenburg
MUC,Munich
VIE,Vienna
ZRH,Zurich
CGN,Cologne/Bonn
STR,Stuttgart
DUS,Dusseldorf
BRU,Brussels
CDG,Paris/ Ch.de Gaulle
HAM,Hamburg
LHR,London Heathrow
GVA,Geneva
FCO,Rome
DUB,Dublin
AMS,Amsterdam
LUX,Luxembourg
BUD,Budapest
ATH,Athens
MRS,Marseille
BCN,Barcelona (ES)
JFK,New York J F Kennedy
LCY,London City
VCE,Venice
EWR,New York Newark
BEG,Belgrade
ORD,Chicago
PRG,
KRK,Krakow
LZS,Linz Railway Station
ZSB,Salzburg Railway Station
MXP,Milan Malpensa
IAD,Washington Dulles
YUL,Montreal/Dorval
ARN,Stockholm
CPH,Copenhagen
TLV,Tel Aviv
GGZ,Graz Rail Station
WAW,Warsaw
MHJ,Mannheim Central Station
PSA,Pisa
QKL,Cologne central station
BLQ,Bologna
FLR,Florence
QDU,Dusseldorf Main Rail Station
NCE,Nice
XER,Strasbourg Bus Station
QWU,Wuerzburg Rail Station
GRZ,Graz
KWQ,Kassel Wilhelmshoehe Railway Station
LIN,Milan Linate
INN,Innsbruck
LYS,Lyon
SZG,Salzburg
PMI,Palma De Mallorca
ZWS,Stuttgart Rail Station
BLL,Billund
HAJ,Hannover
LEJ,Leipzig/ Halle
LJU,Ljubljana
XIU,Erfurt Rail Station
MKF,Muenster/Osnabrueck Muenster Hbf
DRS,Dresden
BRE,Bremen
BSL,Basel
NUE,Nuremberg
ACE,Lanzarote
MAD,Madrid
LIS,Lisbon
SOF,Sofia
AGP,Malaga
OTP,Bucharest
SKP,Skopje
AMM,Amman
